date,avg_modal_price
2023-01-07,2295.608843537415
2023-01-08,2367.1666666666665
2023-01-09,2399.896103896104
2023-01-10,2329.567901234568
2023-01-11,2537.6137184115523
2023-01-12,2542.4814814814813
2023-01-13,2542.4814814814813
2023-01-14,2542.4814814814813
2023-01-15,2542.4814814814813
2023-01-16,2542.4814814814813
2023-01-17,2542.4814814814813
2023-01-18,2542.4814814814813
2023-01-19,2542.4814814814813
2023-01-20,2542.4814814814813
2023-01-21,2542.4814814814813
2023-01-22,2542.4814814814813
2023-01-23,2542.4814814814813
2023-01-24,2542.4814814814813
2023-01-25,2542.4814814814813
2023-01-26,2542.4814814814813
2023-01-27,2542.4814814814813
2023-01-28,2542.4814814814813
2023-01-29,2542.4814814814813
2023-01-30,2542.4814814814813
2023-01-31,2542.4814814814813
2023-02-01,2542.4814814814813
2023-02-02,2542.4814814814813
2023-02-03,2542.4814814814813
2023-02-04,2542.4814814814813
2023-02-05,2542.4814814814813
2023-02-06,2542.4814814814813
2023-02-07,2217.3257575757575
2023-02-08,2378.435975609756
2023-02-09,2381.4460431654675
2023-02-10,2371.2340425531916
2023-02-11,2561.968641114983
2023-02-12,2531.228310502283
2023-02-13,2531.228310502283
2023-02-14,2531.228310502283
2023-02-15,2531.228310502283
2023-02-16,2531.228310502283
2023-02-17,2531.228310502283
2023-02-18,2531.228310502283
2023-02-19,2531.228310502283
2023-02-20,2531.228310502283
2023-02-21,2531.228310502283
2023-02-22,2531.228310502283
2023-02-23,2531.228310502283
2023-02-24,2531.228310502283
2023-02-25,2531.228310502283
2023-02-26,2531.228310502283
2023-02-27,2531.228310502283
2023-02-28,2531.228310502283
2023-03-01,2531.228310502283
2023-03-02,2531.228310502283
2023-03-03,2531.228310502283
2023-03-04,2531.228310502283
2023-03-05,2531.228310502283
2023-03-06,2531.228310502283
2023-03-07,2281.495327102804
2023-03-08,2402.3241379310343
2023-03-09,2364.448598130841
2023-03-10,2449.111475409836
2023-03-11,2546.305194805195
2023-03-12,2462.2168674698796
2023-03-13,2462.2168674698796
2023-03-14,2462.2168674698796
2023-03-15,2462.2168674698796
2023-03-16,2462.2168674698796
2023-03-17,2462.2168674698796
2023-03-18,2462.2168674698796
2023-03-19,2462.2168674698796
2023-03-20,2462.2168674698796
2023-03-21,2462.2168674698796
2023-03-22,2462.2168674698796
2023-03-23,2462.2168674698796
2023-03-24,2462.2168674698796
2023-03-25,2462.2168674698796
2023-03-26,2462.2168674698796
2023-03-27,2462.2168674698796
2023-03-28,2462.2168674698796
2023-03-29,2462.2168674698796
2023-03-30,2462.2168674698796
2023-03-31,2462.2168674698796
2023-04-01,2462.2168674698796
2023-04-02,2462.2168674698796
2023-04-03,2462.2168674698796
2023-04-04,2462.2168674698796
2023-04-05,2462.2168674698796
2023-04-06,2462.2168674698796
2023-04-07,2282.9530791788857
2023-04-08,2397.045307443366
2023-04-09,2391.5896226415093
2023-04-10,2442.9455128205127
2023-04-11,2536.292253521127
